text,label
Metformin + Dolutegravir,Moderate
Zidovudine + Budesonide,Moderate
Zidovudine + Hydrocortisone,Moderate
Zidovudine + Prednisone,Moderate
Zidovudine + Simvastatin,Moderate
Budesonide + Abametapir (topical),Moderate
Hydrocortisone + Abametapir (topical),Moderate
Ondansetron + Abametapir (topical),Moderate
Prednisone + Abametapir (topical),Moderate
Simvastatin + Abametapir (topical),Moderate
Metformin + Abemaciclib,Moderate
Abiraterone + Glycerin,Moderate
Ondansetron + Abiraterone,Moderate
Simvastatin + Paclitaxel,Moderate
Isotretinoin + Budesonide,Moderate
Hydrocortisone + Isotretinoin,Moderate
Prednisone + Isotretinoin,Moderate
Fentanyl + Alvimopan,Major
Fentanyl + Alvimopan,Major
Aprepitant + Fentanyl,Major
Aprepitant + Fentanyl,Major
Atropine + Fentanyl,Moderate
Fentanyl + Bupropion,Major
Fentanyl + Bupropion,Major
Cimetidine + Fentanyl,Moderate
Fentanyl + Clarithromycin,Major
Fentanyl + Clarithromycin,Major
Clidinium + Fentanyl,Moderate
Clotrimazole + Fentanyl,Major
Clotrimazole + Fentanyl,Major
Fentanyl + Dexamethasone,Major
Fentanyl + Dexamethasone,Major
Fentanyl + Dexfenfluramine,Major
Fentanyl + Dexfenfluramine,Major
Dicyclomine + Fentanyl,Moderate
Dolasetron + Fentanyl,Major
Dolasetron + Fentanyl,Major
Dronabinol + Fentanyl,Moderate
Fentanyl + Eluxadoline,Moderate
Fenfluramine + Fentanyl,Major
Fenfluramine + Fentanyl,Major
Fentanyl + Glycerol phenylbutyrate,Moderate
Fentanyl + Glycopyrronium,Moderate
Fentanyl + Granisetron,Major
Fentanyl + Granisetron,Major
Hyoscyamine + Fentanyl,Moderate
Fentanyl + Lorcaserin,Major
Fentanyl + Lorcaserin,Major
Mazindol + Fentanyl,Moderate
Fentanyl + Mepenzolate,Moderate
Fentanyl + Methscopolamine,Moderate
Fentanyl + Metoclopramide,Moderate
Fentanyl + Metreleptin,Moderate
Fentanyl + Miconazole,Moderate
Morphine + Fentanyl,Major
Morphine + Fentanyl,Major
Morphine (liposomal) + Fentanyl,Major
Morphine (liposomal) + Fentanyl,Major
Nabilone + Fentanyl,Moderate
Fentanyl + Naloxone,Moderate
Naltrexone + Fentanyl,Major
Naltrexone + Fentanyl,Major
Fentanyl + Ondansetron,Major
Fentanyl + Ondansetron,Major
Fentanyl + Opium,Moderate
Palonosetron + Fentanyl,Major
Palonosetron + Fentanyl,Major
Phentermine + Fentanyl,Moderate
Fentanyl + Polyethylene glycol (3350 with electrolytes),Moderate
Propantheline + Fentanyl,Moderate
Scopolamine + Fentanyl,Moderate
Fentanyl + Sibutramine,Major
Fentanyl + Sibutramine,Major
Troglitazone + Fentanyl,Moderate
Trospium + Fentanyl,Moderate
Acarbose + Chlorothiazide,Moderate
Acarbose + Ciprofloxacin,Moderate
Acarbose + Epinephrine,Moderate
Acarbose + Epirubicin,Moderate
Acarbose + Estradiol,Moderate
Acarbose + Etonogestrel,Moderate
Acarbose + Hydrochlorothiazide,Moderate
Acarbose + Hydrocortisone,Moderate
Leuprolide + Acarbose,Moderate
Acarbose + Medroxyprogesterone acetate,Moderate
Acarbose + Metformin,Minor
Acarbose + Metformin,Minor
Acarbose + Ofloxacin,Moderate
Acarbose + Prednisone,Moderate
Acarbose + Progesterone,Moderate
Acarbose + Salmeterol,Moderate
Acarbose + Tacrolimus,Moderate
Atropine + Chlorpheniramine,Moderate
Chlorpheniramine + Bupropion,Moderate
Dicyclomine + Chlorpheniramine,Moderate
Dronabinol + Chlorpheniramine,Moderate
Chlorpheniramine + Eliglustat,Moderate
Chlorpheniramine + Eluxadoline,Moderate
Chlorpheniramine + Glycerol phenylbutyrate,Moderate
Glycopyrronium + Chlorpheniramine,Moderate
Glycopyrronium (topical) + Chlorpheniramine,Moderate
Loperamide + Chlorpheniramine,Moderate
Chlorpheniramine + Lorcaserin,Moderate
Chlorpheniramine + Mepenzolate,Moderate
Metformin + Phenylephrine,Moderate
Chlorpheniramine + Methscopolamine,Moderate
Chlorpheniramine + Metoclopramide,Moderate
Morphine + Chlorpheniramine,Moderate
Morphine (liposomal) + Chlorpheniramine,Moderate
Nabilone + Chlorpheniramine,Moderate
Chlorpheniramine + Opium,Moderate
Potassium chloride + Chlorpheniramine,Major
Potassium chloride + Chlorpheniramine,Major
Chlorpheniramine + Potassium citrate,Major
Chlorpheniramine + Potassium citrate,Major
